sample_id,Haul,Common_name,sscinames,Target_species,sample,logbook_kg,logbook_code,
eDNA_MIX_569,9,Anglerfish,Lophius piscatorius,Nephrops,569_1,observed,,
eDNA_MIX_569,9,Atlantic herring,Clupea harengus,Nephrops,569_1,observed,,
eDNA_MIX_569,9,Haddock,Melanogrammus aeglefinus,Nephrops,569_1,observed,,
eDNA_MIX_569,9,Witch,Glyptocephalus cynoglossus,Nephrops,569_1,observed,,
eDNA_MIX_569,9,Lemon sole,Microstomus kitt,Nephrops,569_1,observed,,
eDNA_MIX_569,9,Atlantic halibut,Hippoglossus hippoglossus,Nephrops,569_1,observed,,
eDNA_MIX_569,9,European flounder,Platichthys flesus,Nephrops,569_1,observed,,
eDNA_MIX_569,9,Ling,Molva molva,Nephrops,569_1,observed,,
eDNA_MIX_569,9,Grey gurnard,Eutrigla gurnardus,Nephrops,569_1,observed,,
eDNA_MIX_569,9,European sprat,Sprattus sprattus,Nephrops,569_1,observed,,
eDNA_MIX_569,9,Pouting,Trisopterus luscus,Nephrops,569_1,observed,,
eDNA_MIX_569,9,fourbeard rockling,Enchelyopus cimbrius,Nephrops,569_1,observed,,
eDNA_MIX_569,9,Common dragonet,Callionymus lyra,Nephrops,569_1,observed,,
eDNA_MIX_569,9,American plaice,Hippoglossoides platessoides,Nephrops,569_1,observed,,
eDNA_MIX_569,9,Norway pout,Trisopterus esmarkii,Nephrops,569_1,observed,,
eDNA_MIX_569,9,Norway lobster,Nephrops norvegicus,Nephrops,569_2,197,NEP,
eDNA_MIX_569,9,Atlantic cod,Gadus morhua,Nephrops,569_2,observed,,
eDNA_MIX_569,9,Whiting,Merlangius merlangus,Nephrops,569_2,observed,,
eDNA_MIX_569,9,Saithe,Pollachius virens,Nephrops,569_2,observed,,
eDNA_MIX_569,9,Anglerfish,Lophius piscatorius,Nephrops,569_2,observed,,
eDNA_MIX_569,9,Atlantic herring,Clupea harengus,Nephrops,569_2,observed,,
eDNA_MIX_569,9,Haddock,Melanogrammus aeglefinus,Nephrops,569_2,observed,,
eDNA_MIX_569,9,Witch,Glyptocephalus cynoglossus,Nephrops,569_2,observed,,
eDNA_MIX_569,9,Lemon sole,Microstomus kitt,Nephrops,569_2,observed,,
eDNA_MIX_569,9,Atlantic halibut,Hippoglossus hippoglossus,Nephrops,569_2,observed,,
eDNA_MIX_569,9,European flounder,Platichthys flesus,Nephrops,569_2,observed,,
eDNA_MIX_569,9,Ling,Molva molva,Nephrops,569_2,observed,,
eDNA_MIX_569,9,Grey gurnard,Eutrigla gurnardus,Nephrops,569_2,observed,,
eDNA_MIX_569,9,European sprat,Sprattus sprattus,Nephrops,569_2,observed,,
eDNA_MIX_569,9,Pouting,Trisopterus luscus,Nephrops,569_2,observed,,
eDNA_MIX_569,9,fourbeard rockling,Enchelyopus cimbrius,Nephrops,569_2,observed,,
eDNA_MIX_569,9,Common dragonet,Callionymus lyra,Nephrops,569_2,observed,,
eDNA_MIX_569,9,American plaice,Hippoglossoides platessoides,Nephrops,569_2,observed,,
eDNA_MIX_569,9,Norway pout,Trisopterus esmarkii,Nephrops,569_2,observed,,
eDNA_MIX_569,9,Norway lobster,Nephrops norvegicus,Nephrops,569_3,197,NEP,
eDNA_MIX_569,9,Atlantic cod,Gadus morhua,Nephrops,569_3,observed,,
eDNA_MIX_569,9,Whiting,Merlangius merlangus,Nephrops,569_3,observed,,
eDNA_MIX_569,9,Saithe,Pollachius virens,Nephrops,569_3,observed,,
eDNA_MIX_569,9,Anglerfish,Lophius piscatorius,Nephrops,569_3,observed,,
eDNA_MIX_569,9,Atlantic herring,Clupea harengus,Nephrops,569_3,observed,,
eDNA_MIX_569,9,Haddock,Melanogrammus aeglefinus,Nephrops,569_3,observed,,
eDNA_MIX_569,9,Witch,Glyptocephalus cynoglossus,Nephrops,569_3,observed,,
eDNA_MIX_569,9,Lemon sole,Microstomus kitt,Nephrops,569_3,observed,,
eDNA_MIX_569,9,Atlantic halibut,Hippoglossus hippoglossus,Nephrops,569_3,observed,,
eDNA_MIX_569,9,European flounder,Platichthys flesus,Nephrops,569_3,observed,,
eDNA_MIX_569,9,Ling,Molva molva,Nephrops,569_3,observed,,
eDNA_MIX_569,9,Grey gurnard,Eutrigla gurnardus,Nephrops,569_3,observed,,
eDNA_MIX_569,9,European sprat,Sprattus sprattus,Nephrops,569_3,observed,,
eDNA_MIX_569,9,Pouting,Trisopterus luscus,Nephrops,569_3,observed,,
eDNA_MIX_569,9,fourbeard rockling,Enchelyopus cimbrius,Nephrops,569_3,observed,,
eDNA_MIX_569,9,Common dragonet,Callionymus lyra,Nephrops,569_3,observed,,
eDNA_MIX_569,9,American plaice,Hippoglossoides platessoides,Nephrops,569_3,observed,,
eDNA_MIX_569,9,Norway pout,Trisopterus esmarkii,Nephrops,569_3,observed,,
eDNA_MIX_575,10,Norway lobster,Nephrops norvegicus,Nephrops,575_1,121,NEP,
eDNA_MIX_575,10,Atlantic cod,Gadus morhua,Nephrops,575_1,observed,,
eDNA_MIX_575,10,Atlantic herring,Clupea harengus,Nephrops,575_1,observed,,
eDNA_MIX_575,10,Witch,Glyptocephalus cynoglossus,Nephrops,575_1,observed,,
eDNA_MIX_575,10,Haddock,Melanogrammus aeglefinus,Nephrops,575_1,observed,,
eDNA_MIX_575,10,American plaice,Hippoglossoides platessoides,Nephrops,575_1,observed,,
eDNA_MIX_575,10,Mediterranean scaldfish,Arnoglossus laterna,Nephrops,575_1,observed,,
eDNA_MIX_575,10,Lemon sole,Microstomus kitt,Nephrops,575_1,observed,,
eDNA_MIX_575,10,Grey gurnard,Eutrigla gurnardus,Nephrops,575_1,observed,,
eDNA_MIX_575,10,fourbeard rockling,Enchelyopus cimbrius,Nephrops,575_1,observed,,
eDNA_MIX_575,10,Common dragonet,Callionymus lyra,Nephrops,575_1,observed,,
eDNA_MIX_575,10,Anglerfish,Lophius piscatorius,Nephrops,575_1,observed,,
eDNA_MIX_575,10,Atlantic Wolffish,Anarhichas lupus,Nephrops,575_1,observed,,
eDNA_MIX_575,10,Lumpsucker,Cyclopterus lumpus,Nephrops,575_1,observed,,
eDNA_MIX_575,10,Whiting,Merlangius merlangus,Nephrops,575_1,observed,,
eDNA_MIX_575,10,Common dab,Limanda limanda,Nephrops,575_1,observed,,
eDNA_MIX_575,10,Norway pout,Trisopterus esmarkii,Nephrops,575_1,observed,,
eDNA_MIX_580,11,Atlantic cod,Gadus morhua,Roundfish,580_1,observed,,
eDNA_MIX_580,11,Atlantic horse mackerel,Trachurus trachurus,Roundfish,580_1,observed,,
eDNA_MIX_580,11,Saithe,Pollachius virens,Roundfish,580_1,observed,,
eDNA_MIX_580,11,European hake,Merluccius merluccius,Roundfish,580_1,observed,,
eDNA_MIX_580,11,Rabbit fish,Chimaera monstrosa,Roundfish,580_1,observed,,
eDNA_MIX_580,11,fourbeard rockling,Enchelyopus cimbrius,Roundfish,580_1,observed,,
eDNA_MIX_580,11,Anglerfish,Lophius piscatorius,Roundfish,580_1,102,MON,
eDNA_MIX_580,11,Witch,Glyptocephalus cynoglossus,Roundfish,580_1,observed,,
eDNA_MIX_580,11,Vahl's eelpout,Lycodes vahlii,Roundfish,580_1,observed,,
eDNA_MIX_580,11,Atlantic hagfish,Myxine glutinosa,Roundfish,580_1,observed,,
eDNA_MIX_580,11,Whiting,Merlangius merlangus,Roundfish,580_1,37,WIT,
eDNA_MIX_580,11,Common dab,Limanda limanda,Roundfish,580_1,observed,,
eDNA_MIX_580,11,American plaice,Hippoglossoides platessoides,Roundfish,580_1,37,PLE,
eDNA_MIX_580,11,Haddock,Melanogrammus aeglefinus,Roundfish,580_1,2,HAD,
eDNA_MIX_585,12,American plaice,Hippoglossoides platessoides,Roundfish,585_1,observed,,
eDNA_MIX_585,12,Atlantic cod,Gadus morhua,Roundfish,585_1,1,COD,
eDNA_MIX_585,12,fourbeard rockling,Enchelyopus cimbrius,Roundfish,585_1,observed,,
eDNA_MIX_585,12,Witch,Glyptocephalus cynoglossus,Roundfish,585_1,37,WIT,
eDNA_MIX_585,12,Rabbit fish,Chimaera monstrosa,Roundfish,585_1,observed,,
eDNA_MIX_585,12,Haddock,Melanogrammus aeglefinus,Roundfish,585_1,43,HAD,
eDNA_MIX_585,12,Atlantic horse mackerel,Trachurus trachurus,Roundfish,585_1,observed,,
eDNA_MIX_585,12,European hake,Merluccius merluccius,Roundfish,585_1,observed,,
eDNA_MIX_585,12,Vahl's eelpout,Lycodes vahlii,Roundfish,585_1,observed,,
eDNA_MIX_585,12,Blackbelly rosefish,Helicolenus dactylopterus,Roundfish,585_1,observed,,
eDNA_MIX_585,12,saithe,Pollachius virens,Roundfish,585_1,42,POK,
eDNA_MIX_585,12,Anglerfish,Lophius piscatorius,Roundfish,585_1,159,MON,
eDNA_MIX_585,12,ling,Molva molva,Roundfish,585_1,34,LIN,
eDNA_MIX_585,12,thorny skate,Amblyraja radiata,Roundfish,585_1,94,RJN,
